ID	lys count	base count	contacts sum	sum for 1 lys	sum for 1 base	avg. contacts distance
1jfi	10	17	353.61	35.36	20.8	4.59
1lmb	5	14	304.58	60.92	21.76	4.08
3coa	2	2	15.21	7.6	7.6	5.14
3s8q	2	2	18.33	9.16	9.16	5.13
1owr	6	8	306.52	51.09	38.31	4.58
3zpl	1	2	184.64	184.64	92.32	4.1
4ldx	1	1	22.16	22.16	22.16	3.86
4l62	4	19	1676.27	419.07	88.22	4.37
2yvh	3	10	339.18	113.06	33.92	4.14
1pnr	1	3	70.0	70.0	23.33	4.36
3jxd	1	2	9.37	9.37	4.69	5.11
1h6f	5	10	236.43	47.29	23.64	4.42
1kb2	7	14	164.54	23.51	11.75	4.96
2h7h	3	6	150.92	50.31	25.15	4.63
3hdd	4	13	201.31	50.33	15.49	4.84
1lq1	3	9	290.37	96.79	32.26	4.58
4gcl	3	14	374.8	124.93	26.77	4.14
2zhg	1	2	11.75	11.75	5.88	5.17
4u0y	2	12	328.07	164.03	27.34	4.85
2p5l	4	8	495.57	123.89	61.95	4.45
3dfx	2	5	62.26	31.13	12.45	5.0
4iht	1	1	38.51	38.51	38.51	4.96
1mhd	5	13	183.43	36.69	14.11	4.67
3zkc	3	6	135.92	45.31	22.65	4.39
1xpx	4	9	162.31	40.58	18.03	4.36
1zre	5	9	268.51	53.7	29.83	4.59
3mlp	6	12	469.77	78.29	39.15	4.56
3fdq	8	15	469.01	58.63	31.27	4.46
1qn6	6	8	329.12	54.85	41.14	4.46
2wt7	6	9	191.07	31.84	21.23	4.4
3zql	1	2	180.19	180.19	90.09	4.12
1hjb	7	11	535.71	76.53	48.7	4.36
1r8d	2	4	152.55	76.28	38.14	4.45
1gxp	1	2	12.77	12.77	6.38	4.87
1odh	6	7	152.39	25.4	21.77	4.5
1zs4	4	10	249.2	62.3	24.92	4.12
4mte	2	11	272.44	136.22	24.77	4.63
1le5	13	18	616.11	47.39	34.23	4.45
3e6c	4	4	72.6	18.15	18.15	4.5
4hf1	2	3	74.83	37.41	24.94	4.41
3g97	4	10	339.46	84.86	33.95	4.74
3a5t	2	4	103.5	51.75	25.88	4.5
3u2b	6	8	193.22	32.2	24.15	4.48
2i9t	11	14	303.79	27.62	21.7	4.48
4lln	6	9	327.63	54.61	36.4	4.34
1t2k	11	18	417.03	37.91	23.17	4.34
3n7q	7	6	152.57	21.8	25.43	4.36
1cma	4	12	262.19	65.55	21.85	4.35
1ea4	4	12	772.81	193.2	64.4	4.34
3a01	8	10	309.8	38.72	30.98	4.46
1qn3	6	8	307.86	51.31	38.48	4.56
3coq	6	19	485.55	80.92	25.56	4.04
4fth	5	9	217.66	43.53	24.18	4.33
3iag	7	11	242.19	34.6	22.02	4.57
3o9x	4	6	186.84	46.71	31.14	4.63
2vy1	1	3	49.3	49.3	16.43	4.03
3igm	1	1	59.6	59.6	59.6	4.1
4nnu	16	17	1090.87	68.18	64.17	4.49
3pvv	3	7	318.45	106.15	45.49	4.35
2e1c	2	2	38.32	19.16	19.16	4.62
4on0	2	6	251.39	125.69	41.9	4.77
1gd2	2	4	301.67	150.83	75.42	4.58
4h10	5	9	177.14	35.43	19.68	4.19
3h0d	2	8	156.7	78.35	19.59	4.36
2er8	6	22	1144.37	190.73	52.02	4.09
4ix7	9	12	579.7	64.41	48.31	4.43
2bop	2	4	80.43	40.22	20.11	4.03
2r5y	6	10	167.45	27.91	16.74	4.35
3jtg	2	4	103.76	51.88	25.94	4.44
1k78	10	22	730.68	73.07	33.21	4.66
1nkp	12	16	347.35	28.95	21.71	4.4
1rio	5	16	418.29	83.66	26.14	4.28
3dnv	3	5	60.59	20.2	12.12	4.61
6cro	3	5	108.06	36.02	21.61	4.24
3veb	7	12	550.16	78.59	45.85	4.27
1skn	3	5	148.41	49.47	29.68	4.36
3p57	7	11	1666.6	238.09	151.51	4.41
1cf7	10	14	294.99	29.5	21.07	4.61
2xsd	7	6	183.55	26.22	30.59	4.47
1sax	6	20	294.15	49.03	14.71	4.55
2ac0	2	9	351.96	175.98	39.11	4.1
4qtk	2	4	127.0	63.5	31.75	4.31
1bl0	4	4	77.76	19.44	19.44	3.95
4jl3	1	18	241.9	241.9	13.44	4.47
3gna	2	2	85.3	42.65	42.65	3.92
1bdt	2	2	63.54	31.77	31.77	4.63
1ic8	5	22	402.46	80.49	18.29	4.33
1mdm	10	15	359.79	35.98	23.99	4.51
4lmg	6	14	323.34	53.89	23.1	4.35
3ikt	2	8	207.58	103.79	25.95	4.38
3w3c	5	8	136.7	27.34	17.09	4.43
4ux5	5	9	284.45	56.89	31.61	4.54
3u3w	2	3	41.24	20.62	13.75	5.04
4g92	11	10	273.23	24.84	27.32	4.48
4jcy	3	4	173.68	57.89	43.42	4.48
