ID	asn count	base count	contacts sum	sum for 1 asn	sum for 1 base	avg. contacts distance
1eri	4	6	74.03	18.51	12.34	4.03
1pvi	6	8	363.86	60.64	45.48	4.1
1iaw	3	7	143.43	47.81	20.49	4.22
2e52	4	10	440.17	110.04	44.02	4.14
1yfi	2	4	83.11	41.56	20.78	4.53
3m7k	4	5	173.52	43.38	34.7	4.25
4abt	3	3	58.16	19.39	19.39	4.45
3oqg	4	5	70.77	17.69	14.15	4.32
1vrr	3	5	74.42	24.81	14.88	3.99
3dvo	3	8	383.87	127.96	47.98	4.32
2fl3	5	6	141.61	28.32	23.6	4.14
4rdm	3	6	134.2	44.73	22.37	4.03
3hqf	2	3	76.08	38.04	25.36	4.16
3c25	4	8	189.6	47.4	23.7	4.34
2oaa	7	10	485.79	69.4	48.58	4.29
3gox	4	7	275.15	68.79	39.31	4.1
1kc6	4	8	645.11	161.28	80.64	4.34
3fc3	4	7	278.28	69.57	39.75	4.08
1d2i	6	21	288.33	48.05	13.73	4.33
1wte	2	2	11.48	5.74	5.74	4.88
1bhm	2	4	112.2	56.1	28.05	4.2
1dc1	3	11	279.4	93.13	25.4	4.29
3ndh	1	4	121.67	121.67	30.42	4.03
