ID	aa count	base count	contacts sum	sum for 1 aa	sum for 1 base	avg. contacts distance
1mdm	4	7	157.08	39.27	22.44	4.23
3jxd	3	11	191.53	63.84	17.41	4.32
3w3c	3	3	55.21	18.4	18.4	4.29
3p57	1	2	86.74	86.74	43.37	4.9
1owr	2	2	124.73	62.37	62.37	3.74
3fdq	2	9	203.03	101.51	22.56	4.29
1t2k	4	15	252.86	63.22	16.86	4.59
3n7q	1	1	5.45	5.45	5.45	5.22
3u2b	2	6	111.18	55.59	18.53	4.23
4on0	1	4	90.86	90.86	22.71	4.34
1nkp	6	11	264.97	44.16	24.09	4.53
2ac0	2	3	122.41	61.21	40.8	4.65
1skn	1	5	54.49	54.49	10.9	4.12
3h0d	3	8	163.13	54.38	20.39	4.26
1bdt	2	10	253.71	126.85	25.37	4.35
1gd2	1	5	251.13	251.13	50.23	4.58
3s8q	3	5	99.85	33.28	19.97	4.23
2vy1	1	2	58.02	58.02	29.01	3.96
1jfi	5	6	100.51	20.1	16.75	4.17
4jcy	1	3	96.16	96.16	32.05	3.79
1ic8	6	19	324.15	54.03	17.06	4.43
3hdd	1	7	85.08	85.08	12.15	4.24
1h6f	2	4	104.17	52.09	26.04	4.24
3veb	1	1	0.47	0.47	0.47	5.31
2r5y	4	13	217.37	54.34	16.72	4.4
4lln	3	6	613.43	204.48	102.24	4.69
3igm	1	3	85.45	85.45	28.48	4.28
1rio	5	12	234.17	46.83	19.51	4.51
1cf7	5	10	177.22	35.44	17.72	4.23
1cma	1	4	40.91	40.91	10.23	4.47
2xsd	2	4	87.02	43.51	21.76	4.24
2wt7	2	10	113.06	56.53	11.31	4.46
1qn6	2	4	158.2	79.1	39.55	4.08
1xpx	1	3	53.93	53.93	17.98	3.97
4h10	3	4	106.4	35.47	26.6	4.19
6cro	1	3	36.77	36.77	12.26	4.12
3o9x	3	10	141.7	47.23	14.17	4.28
1lq1	1	2	28.89	28.89	14.44	4.76
1r8d	1	1	1.59	1.59	1.59	5.63
1sax	1	2	46.7	46.7	23.35	3.95
1kb2	1	1	2.55	2.55	2.55	4.83
3dnv	1	2	27.1	27.1	13.55	4.53
4ix7	2	2	17.75	8.87	8.87	5.19
1hjb	3	13	313.67	104.56	24.13	4.39
3jtg	2	2	28.93	14.46	14.46	4.35
4nnu	1	6	127.88	127.88	21.31	4.25
1lmb	4	10	251.8	62.95	25.18	4.37
4fth	1	5	99.08	99.08	19.82	4.14
1k78	4	7	358.99	89.75	51.28	4.32
4mte	1	6	199.51	199.51	33.25	4.61
1qn3	2	4	158.98	79.49	39.74	4.06
3coa	3	8	161.84	53.95	20.23	4.27
1odh	3	9	134.76	44.92	14.97	4.21
2h7h	1	5	115.79	115.79	23.16	4.01
4iht	1	1	32.65	32.65	32.65	4.53
3iag	1	1	0.95	0.95	0.95	5.62
3mlp	8	16	1581.37	197.67	98.84	4.28
2bop	1	2	4.94	4.94	2.47	4.89
3a5t	1	7	103.84	103.84	14.83	4.78
3zkc	1	3	86.24	86.24	28.75	4.28
1bl0	1	2	6.67	6.67	3.34	5.69
3dfx	2	8	139.78	69.89	17.47	4.05
1pnr	1	1	0.61	0.61	0.61	5.77
3e6c	1	2	31.23	31.23	15.62	4.03
3a01	3	9	224.56	74.85	24.95	4.27
1le5	3	4	33.16	11.05	8.29	5.26
4l62	1	9	488.8	488.8	54.31	4.71
4g92	1	2	26.0	26.0	13.0	4.03
2p5l	1	3	16.15	16.15	5.38	4.81
4lmg	4	4	53.41	13.35	13.35	4.46
