ID	aa count	base count	contacts sum	sum for 1 aa	sum for 1 base	avg. contacts distance
3l2p	2	4	53.32	26.66	13.33	3.5
3rax	6	10	141.61	23.6	14.16	4.29
3uiq	2	2	30.2	15.1	15.1	4.49
4klu	5	4	34.84	6.97	8.71	4.41
4eyh	1	2	21.57	21.57	10.79	3.95
1skr	4	6	93.5	23.38	15.58	4.56
1ya6	5	10	236.92	47.38	23.69	4.5
1sxq	2	3	14.45	7.22	4.82	5.02
4o5e	3	3	37.03	12.34	12.34	4.03
2dnj	2	3	82.09	41.04	27.36	4.32
3n4m	5	7	76.09	15.22	10.87	4.5
4g0v	5	6	298.46	59.69	49.74	4.23
1jey	2	3	62.96	31.48	20.99	4.29
4c2u	6	7	237.86	39.64	33.98	4.35
3cws	2	7	203.61	101.81	29.09	3.89
3jxy	1	2	40.19	40.19	20.1	4.1
4elu	8	10	187.8	23.48	18.78	4.29
4ir1	3	4	196.72	65.57	49.18	4.12
1xsl	5	5	333.88	66.78	66.78	4.21
3gv5	2	4	67.64	33.82	16.91	4.28
3av2	9	41	482.7	53.63	11.77	4.4
1rzt	5	5	302.14	60.43	60.43	4.42
1s9f	3	4	331.67	110.56	82.92	4.01
2pi4	6	10	104.97	17.5	10.5	4.45
4dl4	1	2	41.51	41.51	20.75	4.37
1x9w	4	6	86.03	21.51	14.34	4.45
2wtf	2	4	24.12	12.06	6.03	5.01
9ick	1	2	24.23	24.23	12.12	3.73
4o0i	7	5	186.26	26.61	37.25	4.2
1f66	18	36	443.21	24.62	12.31	4.3
2o8b	4	6	111.49	27.87	18.58	4.1
4oin	6	8	158.63	26.44	19.83	4.19
3l4j	2	3	48.51	24.26	16.17	4.55
2wwy	4	6	217.21	54.3	36.2	4.45
