ID	lys count	base count	contacts sum	sum for 1 lys	sum for 1 base	avg. contacts distance
2e52	13	12	1227.3	94.41	102.27	4.42
3ndh	6	9	325.88	54.31	36.21	4.35
1vrr	8	9	544.26	68.03	60.47	4.17
1yfi	11	15	650.94	59.18	43.4	4.44
1d2i	4	10	138.39	34.6	13.84	4.62
1wte	7	10	387.0	55.29	38.7	4.42
4rdm	8	14	545.07	68.13	38.93	4.3
3fc3	7	8	183.23	26.18	22.9	4.37
3gox	7	9	185.48	26.5	20.61	4.35
1dc1	10	12	453.46	45.35	37.79	4.21
3dvo	3	8	460.13	153.38	57.52	4.3
1kc6	6	10	839.64	139.94	83.96	4.32
3hqf	2	3	64.76	32.38	21.59	4.08
2fl3	6	11	135.85	22.64	12.35	4.33
3c25	7	11	266.13	38.02	24.19	4.39
1bhm	7	8	361.22	51.6	45.15	4.3
1iaw	6	9	718.66	119.78	79.85	4.21
1pvi	9	12	477.26	53.03	39.77	4.45
4abt	1	2	54.79	54.79	27.4	4.45
1eri	5	8	205.96	41.19	25.74	4.31
3m7k	2	5	49.29	24.65	9.86	3.9
3oqg	6	8	217.7	36.28	27.21	4.64
2oaa	13	11	485.22	37.32	44.11	4.36
