ID	aa count	base count	contacts sum	sum for 1 aa	sum for 1 base	avg. contacts distance
2voa	3	4	58.1	19.37	14.53	4.39
1x9w	3	8	90.88	30.29	11.36	4.16
4dl4	1	2	54.93	54.93	27.46	4.33
4ir1	1	1	14.0	14.0	14.0	4.07
2wtf	3	5	91.45	30.48	18.29	4.59
1sxq	2	3	130.91	65.45	43.64	4.24
3aaf	2	3	73.3	36.65	24.43	4.55
2o8b	2	3	51.08	25.54	17.03	4.61
3n4m	2	9	161.32	80.66	17.92	4.39
1rzt	1	2	131.22	131.22	65.61	4.6
1ya6	1	2	5.12	5.12	2.56	5.77
2bzf	1	4	37.03	37.03	9.26	4.31
1skr	3	7	93.4	31.13	13.34	4.15
4c2u	3	4	145.97	48.66	36.49	4.26
4klu	3	3	40.39	13.46	13.46	4.92
1xsl	1	3	166.37	166.37	55.46	4.46
3l2p	4	6	173.33	43.33	28.89	4.03
2pi4	6	11	225.86	37.64	20.53	4.28
4o5e	1	2	26.73	26.73	13.36	4.63
4o0i	6	8	180.88	30.15	22.61	4.4
4elu	6	11	206.93	34.49	18.81	4.31
1jey	4	6	64.84	16.21	10.81	4.72
2wwy	2	2	3.02	1.51	1.51	5.32
3rax	2	2	6.55	3.28	3.28	4.47
3gv5	3	3	10.98	3.66	3.66	5.56
4g0v	4	8	260.49	65.12	32.56	4.33
3uiq	6	8	204.76	34.13	25.59	4.27
4oin	3	4	113.03	37.68	28.26	4.32
3l4j	4	7	87.65	21.91	12.52	4.56
9ick	1	3	34.23	34.23	11.41	4.69
2dnj	2	3	36.27	18.14	12.09	4.6
1s9f	3	3	65.59	21.86	21.86	4.35
