ID	asp count	base count	contacts sum	sum for 1 asp	sum for 1 base	avg. contacts distance
2p5l	2	3	69.49	34.75	23.16	5.27
4lmg	3	13	149.24	49.75	11.48	4.75
1zre	1	2	44.6	44.6	22.3	4.68
1skn	1	1	9.35	9.35	9.35	4.93
4ix7	2	5	78.2	39.1	15.64	4.17
3u2b	1	2	19.63	19.63	9.81	5.67
1mhd	1	9	38.06	38.06	4.23	5.46
4fth	1	6	106.0	106.0	17.67	4.19
3a01	2	3	1.72	0.86	0.57	5.39
1zs4	2	8	120.87	60.44	15.11	4.25
4jcy	2	5	36.82	18.41	7.36	5.46
3n7q	1	1	23.68	23.68	23.68	4.42
3jtg	1	1	1.89	1.89	1.89	5.62
4lln	2	6	132.77	66.39	22.13	4.59
4ux5	1	3	34.47	34.47	11.49	4.64
1bl0	1	1	7.86	7.86	7.86	4.58
3veb	1	5	95.15	95.15	19.03	4.93
3h0d	1	1	0.24	0.24	0.24	4.81
4qtk	1	1	11.72	11.72	11.72	5.34
4mte	2	4	33.48	16.74	8.37	5.06
3pvv	1	3	84.94	84.94	28.31	4.61
2yvh	1	3	38.56	38.56	12.85	4.98
1mdm	1	1	2.06	2.06	2.06	5.35
4h10	3	5	82.38	27.46	16.48	4.45
3zpl	3	5	156.54	52.18	31.31	4.74
2ac0	1	2	35.4	35.4	17.7	5.02
1k78	1	1	0.68	0.68	0.68	5.21
1r8d	2	3	57.24	28.62	19.08	4.85
3s8q	1	3	108.38	108.38	36.13	4.44
1gxp	2	7	129.48	64.74	18.5	4.81
1cf7	3	4	11.97	3.99	2.99	5.24
4l62	2	2	20.14	10.07	10.07	5.45
3g97	1	1	15.68	15.68	15.68	5.17
2i9t	2	2	4.74	2.37	2.37	5.72
1le5	3	3	6.14	2.05	2.05	5.3
1sax	1	1	1.98	1.98	1.98	5.6
1kb2	2	2	9.8	4.9	4.9	5.3
4nnu	1	1	1.88	1.88	1.88	5.42
1hjb	1	6	91.88	91.88	15.31	4.65
1t2k	1	2	9.15	9.15	4.58	4.3
3iag	1	2	11.59	11.59	5.8	4.78
